taxon,sample_size,run,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,75,28,(Intercept),2.0994867903791494,0.032808667703911436,2.034114093632107,2.1648594871261917,63.99183317428185,1.5494604351304271e-66
Birds,75,28,relative_time_first_species,-0.10520615376157456,0.048467342094788896,-0.20177943927872544,-0.008632868244423678,-2.1706606802539334,0.0331650077538724
Birds,75,29,(Intercept),2.119475485710018,0.03551387612085206,2.0487125429333246,2.1902384284867114,59.68020720964228,2.4541260592511106e-64
Birds,75,29,relative_time_first_species,-0.11588284679344212,0.054786726930672394,-0.22504778275599752,-0.006717910830886714,-2.115162801020789,0.03778267515314765
Birds,75,30,(Intercept),2.180312308608245,0.03362493822260649,2.113313156067891,2.247311461148599,64.8421208739171,5.934124250465919e-67
Birds,75,30,relative_time_first_species,-0.1742654575644553,0.055169992016800985,-0.2841940679215878,-0.06433684720732281,-3.15870006853338,0.0022948664334608514
Birds,75,31,(Intercept),2.1447975646142092,0.03577454026296183,2.0735152382952755,2.216079890933143,59.953183153404915,1.7624769191103002e-64
Birds,75,31,relative_time_first_species,-0.16639887392466005,0.05682617497043376,-0.27962749676359755,-0.05317025108572254,-2.928208242262235,0.00452822949034003
Birds,75,32,(Intercept),2.0880056690398323,0.035763537566216405,2.016745264960542,2.1592660731191224,58.3836446597006,1.2058807599579648e-63
Birds,75,32,relative_time_first_species,-0.05546548728216593,0.05448662193662885,-0.16403245131092667,0.053101476746594815,-1.0179652419391234,0.3120111549099747
Birds,75,33,(Intercept),2.139806503989607,0.03441854134928065,2.0712260636347897,2.2083869443444244,62.170168174030685,1.2636152108475915e-65
Birds,75,33,relative_time_first_species,-0.11687256659937037,0.05350188598473277,-0.22347740067295963,-0.010267732525781129,-2.1844569485404866,0.03209658594162259
Birds,75,34,(Intercept),2.11975400234979,0.036417499709404055,2.0471905504936654,2.1923174542059147,58.207016386751235,1.5018320601030443e-63
